epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,498.877,1.06764,1.74374,1.33419,0.67358,0.47617,0.50857,0.35854,0.9296,1.08629,1.21887,0.0700713,0.00332542,0.00332542
2,883.452,1.0478,1.10497,1.27496,0.69249,0.46827,0.51513,0.34918,1.02767,1.05477,1.30444,0.0400709,0.00665834,0.00665834
3,1269.09,1.16277,1.23764,1.35609,0.48601,0.28727,0.28741,0.16509,1.41755,2.47667,1.64652,0.0100688,0.00998964,0.00998964
4,1654.62,1.2765,1.39366,1.42864,0.58019,0.35648,0.3906,0.23532,1.30366,1.54143,1.56818,0.0099945,0.0099945,0.0099945
5,2037.87,1.23013,1.29881,1.39641,0.68098,0.41099,0.45946,0.29345,1.19188,1.28177,1.43584,0.00999023,0.00999023,0.00999023
6,2421.73,1.18923,1.20862,1.36491,0.62194,0.44781,0.48321,0.31245,1.14586,1.20247,1.39271,0.00998474,0.00998474,0.00998474
7,2811.35,1.16225,1.15203,1.34951,0.63647,0.47755,0.53347,0.3586,1.07783,1.03594,1.34939,0.00997803,0.00997803,0.00997803
8,3204.17,1.13408,1.09369,1.3271,0.68903,0.48866,0.54288,0.36531,1.06833,0.98333,1.33505,0.00997011,0.00997011,0.00997011
9,3603.82,1.10904,1.0395,1.30943,0.66374,0.52547,0.5661,0.39121,1.02463,0.90624,1.29539,0.00996097,0.00996097,0.00996097
10,3999.86,1.09689,1.02061,1.30565,0.66212,0.52626,0.57097,0.39015,1.01127,0.90633,1.27543,0.00995062,0.00995062,0.00995062
11,4394.54,1.0807,0.98961,1.28787,0.68967,0.53694,0.59103,0.40823,0.98657,0.85981,1.27418,0.00993906,0.00993906,0.00993906
12,4791.49,1.0638,0.96638,1.28592,0.64156,0.54504,0.58883,0.40581,1.00344,0.87415,1.28459,0.00992629,0.00992629,0.00992629
13,5190.32,1.0584,0.94752,1.27578,0.67294,0.56719,0.61005,0.42817,0.96237,0.8045,1.2426,0.00991232,0.00991232,0.00991232
14,5585.61,1.0448,0.92414,1.26771,0.73633,0.56942,0.62338,0.4395,0.94093,0.78933,1.22673,0.00989715,0.00989715,0.00989715
15,5973.27,1.03611,0.90804,1.26256,0.71524,0.58003,0.63054,0.44997,0.93353,0.75667,1.22364,0.00988079,0.00988079,0.00988079
